Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
2018,01/05,1.340.729.031.066.790,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2018,02/05,12.376.761.944.139.700,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2018,03/05,1.116.243.083.256.270,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2019,01/05,13.421.800.584.735.600,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2019,02/05,12.954.087.830.197.200,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2019,03/05,12.242.542.832.403.300,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2020,01/05,1.325.805.562.132.160,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2020,02/05,12.047.125.421.538.400,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2020,03/05,11.031.103.165.366.000,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2021,01/05,1.345.768.835.618.290,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2021,02/05,13.008.891.516.125.700,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2021,03/05,1.176.074.583.888.950,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2022,01/05,1.314.141.266.538.510,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2022,02/05,11.442.531.098.189.600,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2022,03/05,7.139.115.566.594.720,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2023,01/05,13.339.080.315.571.200,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2023,02/05,12.939.797.003.150.000,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2023,03/05,1.187.333.188.906.940,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2024,01/05,13.583.881.735.296.000,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2024,02/05,12.649.588.472.127.600,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2024,03/05,11.998.278.746.078.700,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2015,01/05,132.384.973.759.241,Toledo,30.0,0.45,0.9,12,6
2015,02/05,13.046.524.448.263.200,Toledo,30.0,0.45,0.9,12,6
2015,03/05,1.224.779.787.286.330,Toledo,30.0,0.45,0.9,12,6
2016,01/05,12.821.999.736.215.700,Toledo,30.0,0.45,0.9,12,6
2016,02/05,11.511.416.693.125.000,Toledo,30.0,0.45,0.9,12,6
2016,03/05,9.889.028.522.529.990,Toledo,30.0,0.45,0.9,12,6
