municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico
Jesuítas,25/02/,0.6980183959318849,0.10846856180763058,27,0.4074074074074074,0.14814814814814814,0.2962962962962963,0.9259259259259259,0.0,0.3333333333333333,Inapto (risco > 40%)
Jesuítas,25/03/,0.6962902905294324,0.12195689303037459,27,0.5555555555555556,0.48148148148148145,0.14814814814814814,1.0,0.14814814814814814,0.37037037037037035,Inapto (risco > 40%)
Lindoeste,05/02/,0.7417117965367299,0.11696977041145346,27,0.2962962962962963,0.18518518518518517,0.14814814814814814,0.5185185185185185,0.0,0.37037037037037035,Risco climático 30%
Lindoeste,05/03/,0.749197543437797,0.0884418712624777,27,0.3333333333333333,0.25925925925925924,0.1111111111111111,1.0,0.0,0.5555555555555556,Risco climático 40%
Lindoeste,15/02/,0.7425944183050469,0.09502856101440059,27,0.25925925925925924,0.1111111111111111,0.18518518518518517,0.8148148148148148,0.0,0.4074074074074074,Risco climático 30%
Lindoeste,15/03/,0.7620880981383058,0.09117713571224315,27,0.48148148148148145,0.37037037037037035,0.1111111111111111,1.0,0.037037037037037035,0.48148148148148145,Inapto (risco > 40%)
Lindoeste,25/02/,0.7362594492130029,0.09348822321590686,27,0.25925925925925924,0.2222222222222222,0.1111111111111111,0.9629629629629629,0.0,0.5185185185185185,Risco climático 30%
Lindoeste,25/03/,0.7628880361993928,0.10820583691594775,27,0.4444444444444444,0.4074074074074074,0.07407407407407407,1.0,0.18518518518518517,0.5555555555555556,Inapto (risco > 40%)
Marechal Cândido Rondon,05/02/,0.6808777217129695,0.13573794169757175,27,0.5185185185185185,0.2222222222222222,0.4074074074074074,0.14814814814814814,0.0,0.18518518518518517,Inapto (risco > 40%)
Marechal Cândido Rondon,05/03/,0.6769774831040876,0.12136509330679597,27,0.48148148148148145,0.37037037037037035,0.2222222222222222,0.9259259259259259,0.0,0.37037037037037035,Inapto (risco > 40%)
